,CN6,Date,CN6_Full_code_0-0,CN6_Full_code_1-1,CN6_Full_code_0-1_proper,CN6_Full_code_0-1_deltaT_proper,CN6_Full_code_0-1_date_firstpartial,CN6_Full_code_0-1_date_firstfull
0,845690,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
1,901490,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
2,901480,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
3,901420,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
4,901410,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
5,901380,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
6,901320,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
7,282612,2022-02-25,True,False,False,,,
8,901510,2022-02-25,False,False,True,42.0,2022-02-25,2022-04-08
9,282619,2022-02-25,True,False,False,,,
10,901120,2022-02-25,True,False,False,,,
11,851419,2022-02-25,True,False,False,,,
12,900630,2022-02-25,False,False,True,223.0,2022-02-25,2022-10-06
13,900220,2022-02-25,True,False,False,,,
14,890800,2022-02-25,True,False,False,,,
15,890690,2022-02-25,True,False,False,,,
16,890610,2022-02-25,True,False,False,,,
17,851411,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
18,901580,2022-02-25,False,False,True,42.0,2022-02-25,2022-04-08
19,392010,2022-02-25,False,False,True,116.0,2022-02-25,2022-06-21
20,902000,2022-02-25,True,False,False,,,
21,903084,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
22,903082,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
23,903040,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
24,903039,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
25,903033,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
26,903032,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
27,903031,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
28,903020,2022-02-25,False,False,True,483.0,2022-02-25,2023-06-23
29,903010,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
30,902920,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
31,902789,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
32,902781,2022-02-25,False,False,True,365.0,2022-02-25,2023-02-25
33,902730,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
34,902290,2022-02-25,True,False,False,,,
35,902230,2022-02-25,True,False,False,,,
36,902229,2022-02-25,True,False,False,,,
37,902219,2022-02-25,True,False,False,,,
38,890590,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
39,890510,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
40,890400,2022-02-25,False,False,True,661.0,2022-02-25,2023-12-18
41,890399,2022-02-25,False,False,True,483.0,2022-02-25,2023-06-23
